,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
30,Antawn Jamison,WAS,29,68,38,30,38.4,19.6,7.6,17.5,43.7,1,3.1,34.1,3.3,4.4,76,2.4,5.3,7.6,2.3,1.7,0.8,0.2,2.2,33.6,24,0,1.8
31,Chris Webber,PHI,32,67,39,28,35.4,19.5,8.3,19.1,43.3,0.2,0.7,34.1,2.7,3.4,79.4,1.9,7.2,9.1,4.7,2.7,1.4,0.8,3.2,41.4,31,4,0.8
32,Shawn Marion,PHX,27,81,62,19,38.8,19.4,7.6,15.9,47.6,1.4,4.2,33.4,2.8,3.4,83.3,2.9,8.4,11.3,1.9,1.5,2,1.5,2.5,44.7,53,0,8.1
33,Baron Davis,GSW,26,46,21,25,34.4,19.2,6.3,16.3,38.7,2.6,7.7,33.3,4,5.3,76.1,0.7,3.1,3.8,7.9,2.8,1.8,0.3,2.7,39,12,1,1.3
34,Antoine Walker,BOS,28,77,26,51,38.5,19.1,7.5,17.9,42.2,1.4,4.4,32.3,2.6,4.8,53.9,2.4,6.7,9,3.4,3.3,1.2,0.8,2.8,37.6,31,0,-6.8
35,Zach Randolph,POR,23,46,19,27,34.9,18.9,7.2,16.1,44.8,0,0.1,0,4.5,5.5,81.5,3.1,6.5,9.6,1.9,2.4,0.7,0.4,2.4,34.2,22,0,-2
36,Richard Hamilton,DET,27,76,53,23,38.6,18.7,6.7,15.3,44,0.5,1.6,30.5,4.8,5.6,85.8,1,2.9,3.9,4.9,2.9,1,0.2,3.1,31.4,4,0,5.6
37,Stephen Jackson,IND,27,51,30,21,35.2,18.7,6.5,16.1,40.3,2,5.6,36,3.7,4.5,83,0.9,4,4.9,2.3,2.4,1.3,0.3,3,30.2,2,0,2.9
38,Jalen Rose,TOR,32,81,33,48,33.5,18.5,6.5,14.3,45.5,1.3,3.4,39.4,4.1,4.8,85.4,0.5,2.9,3.4,2.6,2.2,0.8,0.1,2.3,26.9,1,0,-2.3
39,Yao Ming,HOU,24,80,50,30,30.7,18.3,6.7,12.2,55.2,0,0,0,4.9,6.2,78.3,2.6,5.8,8.4,0.8,2.5,0.4,2,3.7,34.3,24,0,1.7
