,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kevin Durant,OKC,21,82,50,32,39.5,30.1,9.7,20.3,47.6,1.6,4.3,36.5,9.2,10.2,90,1.3,6.3,7.6,2.8,3.3,1.4,1,2.1,47.4,25,0,5.3
2,LeBron James,CLE,25,76,60,16,39,29.7,10.1,20.1,50.3,1.7,5.1,33.3,7.8,10.2,76.7,0.9,6.4,7.3,8.6,3.4,1.6,1,1.6,55.8,31,4,8.5
3,Carmelo Anthony,DEN,26,69,45,24,38.2,28.2,10,21.8,45.8,0.9,2.7,31.6,7.4,8.9,83,2.2,4.4,6.6,3.2,3,1.3,0.4,3.3,43,10,0,4.1
4,Kobe Bryant,LAL,31,73,51,22,38.8,27,9.8,21.5,45.6,1.4,4.1,32.9,6,7.4,81.1,1.1,4.3,5.4,5,3.2,1.5,0.3,2.6,43.2,7,0,6.4
5,Dwyane Wade,MIA,28,77,45,32,36.3,26.6,9.3,19.6,47.6,0.9,3.2,30,6.9,9.1,76.1,1.4,3.5,4.8,6.5,3.3,1.8,1.1,2.4,47.6,17,0,4.6
6,Monta Ellis,GSW,24,64,19,45,41.4,25.5,9.9,22,44.9,1.2,3.6,33.8,4.6,6.1,75.3,0.7,3.3,4,5.3,3.8,2.2,0.4,3,42.3,6,0,-6.2
7,Dirk Nowitzki,DAL,32,81,54,27,37.5,25,8.9,18.5,48.1,0.6,1.5,42.1,6.6,7.2,91.5,1,6.7,7.7,2.7,1.8,0.9,1,2.6,41.9,19,1,4.3
8,Danny Granger,IND,27,62,25,37,36.7,24.1,7.9,18.4,42.8,2.5,7.1,36.1,5.9,6.9,84.8,1.1,4.4,5.5,2.8,2.5,1.5,0.8,3,39.4,3,0,-0.6
9,Chris Bosh,TOR,26,70,35,35,36.1,24,8.6,16.5,51.8,0.1,0.3,36.4,6.7,8.4,79.7,2.9,7.9,10.8,2.4,2.4,0.6,1,2.4,42.9,49,0,0.1
10,Amar'e Stoudemire,PHX,27,82,54,28,34.6,23.1,8.6,15.4,55.7,0,0.1,16.7,5.9,7.7,77.1,2.8,6.1,8.9,1,2.6,0.6,1,3.4,37.7,31,0,3.9
