,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kevin Durant,OKC,22,78,52,26,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35,7.6,8.7,88,0.7,6.1,6.8,2.7,2.8,1.1,1,2,43.5,14,0,3.5
2,LeBron James,MIA,26,79,57,22,38.8,26.7,9.6,18.8,51,1.2,3.5,33,6.4,8.4,75.9,1,6.5,7.5,7,3.6,1.6,0.6,2.1,49.2,31,4,7.8
3,Carmelo Anthony,NYK,27,77,43,34,35.7,25.6,8.9,19.5,45.5,1.2,3.3,37.8,6.6,7.9,83.8,1.5,5.8,7.3,2.9,2.7,0.9,0.6,2.9,40.4,18,0,2.4
4,Dwyane Wade,MIA,29,76,54,22,37.1,25.5,9.1,18.2,50,0.8,2.7,30.6,6.5,8.6,75.8,1.6,4.8,6.4,4.6,3.1,1.5,1.1,2.6,44.7,10,1,7.5
5,Kobe Bryant,LAL,32,82,57,25,33.9,25.3,9,20,45.1,1.4,4.3,32.3,5.9,7.1,82.8,1,4.1,5.1,4.7,3,1.2,0.1,2.1,39.7,9,1,5.1
6,Amar'e Stoudemire,NYK,28,78,39,39,36.8,25.3,9.5,19,50.2,0.1,0.3,43.5,6.1,7.7,79.2,2.5,5.6,8.2,2.6,3.2,0.9,1.9,3.5,44.2,26,0,0.8
7,Derrick Rose,CHI,22,81,62,19,37.4,25,8.8,19.7,44.5,1.6,4.8,33.2,5.9,6.9,85.8,1,3.1,4.1,7.7,3.4,1,0.6,1.7,43,23,1,6.1
8,Monta Ellis,GSW,25,80,35,45,40.3,24.1,9.1,20.1,45.1,1.7,4.7,36.1,4.3,5.4,78.9,0.6,3,3.5,5.6,3.2,2.1,0.3,2.5,40.8,10,0,-2.9
9,Kevin Martin,HOU,28,80,42,38,32.5,23.5,6.9,15.8,43.6,2.2,5.7,38.3,7.4,8.4,88.8,0.4,2.9,3.2,2.5,2.3,1,0.2,1.9,32.3,0,0,2
10,Dirk Nowitzki,DAL,33,73,55,18,34.3,23,8.4,16.2,51.7,0.9,2.3,39.3,5.4,6.1,89.2,0.7,6.3,7,2.6,1.9,0.5,0.6,2.4,37,16,0,7.4
11,Dwight Howard,ORL,25,78,51,27,37.6,22.9,7.9,13.4,59.3,0,0.1,0,7,11.7,59.6,4,10.1,14.1,1.4,3.6,1.4,2.4,3.3,49.5,66,0,6.4
12,Blake Griffin,LAC,22,82,32,50,37.9,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,3.3,8.8,12.1,3.8,2.7,0.8,0.5,3.1,43.9,63,2,-1.8
13,Eric Gordon,LAC,22,56,25,31,37.7,22.3,7.6,16.9,45,1.9,5.2,36.4,5.1,6.2,82.5,0.8,2.1,2.9,4.4,2.7,1.3,0.3,2.1,34.4,1,0,0
14,Russell Westbrook,OKC,22,82,55,27,34.7,21.9,7.5,17,44.2,0.4,1.3,33,6.5,7.7,84.2,1.5,3.1,4.6,8.2,3.9,1.9,0.4,2.5,42.6,31,3,1.4
15,LaMarcus Aldridge,POR,25,81,48,33,39.6,21.8,8.7,17.5,50,0,0.3,17.4,4.3,5.5,79.1,3.4,5.3,8.8,2.1,1.9,1,1.2,2.7,40.1,36,0,3.6
16,Andrea Bargnani,TOR,25,66,19,47,35.7,21.4,8,17.8,44.8,1.2,3.4,34.5,4.3,5.3,82,1.1,4.1,5.2,1.8,2.3,0.5,0.7,2.4,31.7,2,0,-4.8
17,Danny Granger,IND,28,79,36,43,35,20.5,6.8,15.9,42.5,2,5.2,38.6,5,5.9,84.8,1.1,4.3,5.4,2.6,2.6,1.1,0.8,2.7,34,5,0,-0.2
18,Brook Lopez,NJN,23,82,24,58,35.2,20.4,7.9,16,49.2,0,0,0,4.7,6,78.7,2.4,3.5,6,1.6,2.1,0.6,1.5,2.9,33.9,9,0,-3.8
19,Kevin Love,MIN,22,73,17,56,35.8,20.2,6.6,14.1,47,1.2,2.9,41.7,5.8,6.8,85,4.5,10.7,15.2,2.5,2.1,0.6,0.4,2,43.2,64,0,-3.7
20,Deron Williams,NJN,27,65,33,32,37.9,20.1,6.6,15,43.9,1.6,4.9,33.1,5.4,6.3,84.5,0.6,3.4,4,10.3,3.5,1.2,0.2,2.9,41.1,34,0,-1.8
21,Zach Randolph,MEM,29,75,43,32,36.3,20.1,8,15.8,50.3,0.1,0.6,18.6,4,5.3,75.8,4.3,7.8,12.2,2.2,2,0.8,0.3,2.3,39.4,53,0,3.5
22,Rudy Gay,MEM,24,54,30,24,39.8,19.8,7.6,16.1,47.1,1.1,2.7,39.6,3.6,4.5,80.5,1.5,4.7,6.2,2.8,2.5,1.7,1.1,2.4,37.3,4,0,2.6
23,Michael Beasley,MIN,22,73,14,59,32.3,19.2,7.7,17.1,45,0.8,2.2,36.6,3,4,75.3,1.6,4,5.6,2.2,2.7,0.7,0.7,3,30.8,8,0,-3.8
24,Paul Pierce,BOS,33,80,55,25,34.7,18.9,6.3,12.8,49.7,1.4,3.7,37.4,4.8,5.6,86,0.4,5,5.4,3.3,2.1,1,0.6,2.9,33,7,1,7.4
25,David West,NOH,30,70,40,30,35,18.9,7.5,14.9,50.8,0,0.1,22.2,3.8,4.7,80.7,2.2,5.3,7.6,2.3,2,1,0.9,2.9,35,16,0,2.1
26,Pau Gasol,LAL,30,82,57,25,37,18.8,7.2,13.7,52.9,0,0,33.3,4.3,5.2,82.3,3.3,6.9,10.2,3.3,1.7,0.6,1.6,2.5,40.8,43,1,6.5
27,Chris Bosh,MIA,27,77,55,22,36.3,18.7,6.8,13.7,49.6,0.1,0.3,24,5,6.1,81.5,1.8,6.5,8.3,1.9,1.8,0.8,0.6,2.2,33.9,28,0,7.8
28,Al Jefferson,UTA,26,82,39,43,35.9,18.6,8,16.1,49.6,0,0,0,2.7,3.5,76.1,2.9,6.8,9.7,1.8,1.3,0.6,1.9,2.9,39,37,0,-2.1
29,Stephen Curry,GSW,23,74,33,41,33.6,18.6,6.8,14.2,48,2,4.6,44.2,2.9,3.1,93.4,0.7,3.2,3.9,5.8,3.1,1.5,0.3,3.1,34.1,5,0,-0.2
30,Stephen Jackson,CHA,33,67,30,37,35.9,18.5,6.5,15.8,41.1,1.8,5.4,33.7,3.7,4.6,81.6,0.8,3.7,4.5,3.6,3.1,1.2,0.4,2.4,31.1,3,1,-3.7
31,Luis Scola,HOU,31,74,38,36,32.6,18.3,7.7,15.3,50.4,0,0,0,2.9,3.9,73.8,2,6.2,8.2,2.5,2,0.6,0.6,3.1,33.6,19,0,3.1
32,Joe Johnson,ATL,30,72,38,34,35.5,18.2,7.1,16.1,44.3,1.2,4.2,29.7,2.7,3.4,80.2,0.8,3.2,4,4.7,2,0.7,0.1,1.8,30.3,2,0,1.2
33,Antawn Jamison,CLE,35,56,9,47,32.9,18,6.7,15.6,42.7,1.6,4.7,34.6,3.1,4.2,73.1,1.5,5.2,6.7,1.7,1.4,0.9,0.5,2.4,31.5,10,0,-6.6
34,Tyreke Evans,SAC,21,57,18,39,37,17.8,6.7,16.4,40.9,0.8,2.6,29.1,3.6,4.7,77.1,0.8,4,4.8,5.6,3.2,1.5,0.5,2.5,34.8,6,0,-3.5
35,Tony Parker,SAS,29,78,60,18,32.4,17.5,7.1,13.7,51.9,0.3,0.9,35.7,3,3.9,76.9,0.4,2.7,3.1,6.6,2.6,1.2,0,1.7,32.1,9,0,4
36,Carlos Boozer,CHI,29,59,47,12,31.9,17.5,7.3,14.3,51,0,0,0,2.9,4.1,70.1,2.2,7.4,9.6,2.5,2.5,0.8,0.3,3.2,33.4,30,0,4.7
37,Luol Deng,CHI,26,82,62,20,39.1,17.4,6.5,14.1,46,1.4,4.1,34.5,3.1,4.1,75.3,1.4,4.4,5.8,2.8,1.9,1,0.6,2,31.3,8,0,6.3
38,Nick Young,WAS,26,64,14,50,31.8,17.4,6.4,14.6,44.1,1.6,4.2,38.7,2.9,3.6,81.6,0.4,2.3,2.7,1.2,1.4,0.7,0.3,2.3,23.9,0,0,-4.4
39,Manu Ginobili,SAS,33,80,61,19,30.3,17.4,5.5,12.7,43.3,1.9,5.5,34.9,4.5,5.1,87.1,0.5,3.2,3.7,4.9,2.2,1.5,0.4,2,32.7,0,0,6.8
40,Paul Millsap,UTA,26,76,36,40,34.3,17.3,6.9,13,53.1,0.1,0.3,39.1,3.4,4.4,75.7,2.2,5.5,7.6,2.5,1.9,1.4,0.9,3.6,35,19,0,0.2
41,DeMar DeRozan,TOR,21,82,22,60,34.8,17.2,6.6,14.1,46.7,0.1,0.6,9.6,4,4.9,81.3,0.9,2.9,3.8,1.8,1.8,1,0.4,2.6,27,1,0,-5
42,Andray Blatche,WAS,24,64,21,43,33.9,16.8,6.7,15,44.5,0.1,0.3,22.2,3.4,4.4,77.7,2.9,5.4,8.2,2.3,2.7,1.5,0.8,2.8,34.3,17,0,-3.8
43,Chauncey Billups,NYK,34,72,38,34,32.1,16.8,4.7,11,42.7,2,5,40.2,5.3,5.8,91.6,0.3,2.3,2.6,5.4,2.5,1,0.2,2,29.1,2,0,1.7
44,Josh Smith,ATL,25,77,43,34,34.3,16.5,6.5,13.5,47.7,0.7,2,33.1,3,4.1,72.5,1.7,6.8,8.5,3.3,2.6,1.3,1.6,2.8,37.7,31,1,1
45,Ray Allen,BOS,35,80,55,25,36.1,16.5,6,12.2,49.1,2.1,4.7,44.4,2.4,2.7,88.1,0.6,2.8,3.4,2.7,1.5,1,0.2,1.8,26.8,0,0,5.7
46,David Lee,GSW,28,73,35,38,36.1,16.5,6.8,13.4,50.7,0,0,33.3,2.9,3.7,78.7,3,6.8,9.8,3.2,2.3,1,0.4,2.9,35,37,0,-1.6
47,John Wall,WAS,20,69,19,50,37.8,16.4,5.8,14.1,40.9,0.5,1.7,29.6,4.4,5.7,76.6,0.5,4.1,4.6,8.3,3.8,1.8,0.5,2.5,37.4,26,1,-6.4
48,Dorell Wright,GSW,25,82,36,46,38.4,16.4,5.9,14,42.3,2.4,6.3,37.6,2.2,2.8,78.9,1.1,4.2,5.3,3,1.6,1.5,0.8,2.1,32.3,7,0,-1.6
49,Brandon Jennings,MIL,21,63,27,36,34.4,16.2,5.7,14.7,39,1.6,4.8,32.3,3.2,3.9,80.9,0.7,3,3.7,4.8,2.3,1.5,0.3,2.1,31.1,6,1,-1.1
50,Wesley Matthews,POR,24,82,48,34,33.6,15.9,5.4,11.9,44.9,1.9,4.6,40.7,3.2,3.8,84.4,0.6,2.6,3.1,2,1.7,1.2,0.1,2.4,25,1,0,1.9
51,Chris Paul,NOH,26,80,45,35,36,15.9,5.4,11.6,46.3,0.9,2.3,38.8,4.2,4.8,87.8,0.5,3.6,4.1,9.8,2.2,2.4,0.1,2.5,40.4,32,0,3.2
52,Jason Terry,DAL,33,82,57,25,31.3,15.8,6,13.3,45.1,1.5,4.3,36.2,2.2,2.6,85,0.3,1.6,1.9,4.1,2,1.1,0.2,1.7,26,1,0,4
53,Gerald Wallace,POR,28,71,36,35,37.9,15.7,5.4,12,45.4,0.9,2.6,33.3,3.9,5.3,74.6,1.6,6.5,8,2.4,2.1,1.5,0.9,2.6,33.9,18,0,1.6
54,Danilo Gallinari,DEN,22,62,34,28,33.9,15.6,4.3,10.3,41.4,1.7,4.7,35.2,5.4,6.3,86.2,1,4,4.9,1.7,1.3,0.8,0.4,2.3,26.5,2,0,1.1
55,Jason Richardson,ORL,30,80,47,33,33.9,15.6,5.9,13.2,44.7,2.4,6,39.5,1.5,2,73,0.8,3.3,4.1,1.8,1.2,1.2,0.2,2,26.1,1,0,3.3
56,Raymond Felton,DEN,27,75,44,31,36.5,15.5,5.7,13.4,42.5,1.5,4.4,35.3,2.6,3.2,80.5,0.6,2.9,3.6,8.3,2.9,1.7,0.1,2,34.8,27,1,1.8
57,Rodney Stuckey,DET,25,70,25,45,31.2,15.5,5.2,11.8,43.9,0.4,1.3,28.9,4.7,5.4,86.6,1,2.1,3.1,5.2,2.2,1.1,0.1,2.5,28.4,7,0,-1.2
58,Al Horford,ATL,25,77,41,36,35.1,15.3,6.7,12,55.7,0,0.1,50,1.9,2.4,79.8,2.4,7,9.3,3.5,1.5,0.8,1,2.5,35.5,36,0,0.6
59,Wilson Chandler,DEN,24,72,41,31,33.3,15.3,6,13.2,45,1.6,4.4,35,1.8,2.2,80.7,1,4.6,5.7,1.7,1.4,0.7,1.3,2.8,29.1,6,0,2.4
60,Devin Harris,UTA,28,71,24,47,31.7,15.2,4.8,11.5,42.2,0.8,2.5,32.2,4.7,5.7,83.3,0.2,2.1,2.4,7.1,2.9,1,0.1,2.3,29,9,0,-2.9
61,Caron Butler,DAL,31,29,21,8,29.9,15,5.9,13,45,1,2.2,43.1,2.3,3,77.3,0.8,3.3,4.1,1.6,1.7,1,0.3,2,24.3,1,0,5.1
62,Elton Brand,PHI,32,81,41,40,34.7,15,6.2,12.1,51.2,0,0,0,2.6,3.4,78,2.9,5.4,8.3,1.5,1.2,1.1,1.3,3,33.3,24,0,1.6
63,Kevin Garnett,BOS,35,71,49,22,31.3,14.9,6.1,11.6,52.8,0,0.1,20,2.6,3.1,86.2,1.2,7.7,8.9,2.4,1.6,1.3,0.8,2.1,34,28,0,7.8
64,Steve Nash,PHX,37,75,39,36,33.3,14.7,5.3,10.8,49.2,1.1,2.7,39.5,3,3.3,91.2,0.5,2.9,3.5,11.4,3.5,0.6,0.1,1.2,34.6,41,0,3.8
65,Nene,DEN,28,75,46,29,30.6,14.5,5.4,8.7,61.5,0,0.1,20,3.8,5.4,71.1,1.9,5.7,7.6,2,1.8,1.1,1,3.2,31.2,14,0,4.3
66,Lamar Odom,LAL,31,82,57,25,32.2,14.4,5.8,10.9,53,0.8,2.2,38.2,2,3,67.5,2.1,6.5,8.7,3,1.7,0.6,0.7,2.4,31.6,28,0,4.6
67,D.J. Augustin,CHA,23,82,34,48,33.6,14.4,4.9,11.7,41.6,1.4,4.1,33.3,3.3,3.6,90.6,0.5,2.3,2.7,6.1,1.9,0.7,0,1.9,27,7,0,-3.1
68,Jamal Crawford,ATL,31,76,40,36,30.2,14.2,4.8,11.5,42.1,1.6,4.6,34.1,2.9,3.4,85.4,0.3,1.4,1.7,3.2,1.9,0.8,0.2,1.3,21.9,0,0,0.1
69,Richard Hamilton,DET,33,55,19,36,27.2,14.1,5.2,12.2,42.9,1,2.6,38.2,2.7,3.1,84.9,0.4,1.9,2.3,3.1,1.6,0.7,0.1,1.7,22.3,0,0,-2.5
70,DeMarcus Cousins,SAC,20,81,23,58,28.5,14.1,5.3,12.4,43,0,0.2,16.7,3.4,5,68.7,2.7,6,8.6,2.5,3.3,1,0.8,4.1,30.6,26,0,-3.2
71,Andre Iguodala,PHI,27,67,36,31,36.8,14.1,5,11.3,44.5,0.9,2.7,33.7,3.1,4.5,69.3,0.9,4.9,5.8,6.3,2.1,1.5,0.6,1.6,34.6,11,3,2.4
72,Tayshaun Prince,DET,31,78,29,49,32.8,14.1,6.1,12.8,47.3,0.4,1.3,34.7,1.5,2.2,70.2,1,3.2,4.2,2.8,1.1,0.4,0.5,1.2,25,4,0,-1.7
73,John Salmons,MIL,31,73,30,43,35,14,5.1,12.3,41.5,1.1,3,37.9,2.7,3.3,81.3,0.4,3.3,3.6,3.5,1.9,1,0.4,2.2,25.8,1,0,-0.8
74,Mo Williams,LAC,28,58,19,39,30.8,14,5,12.6,39.9,1.4,4.2,32.4,2.6,3.1,85.3,0.4,2.3,2.6,6.6,2.9,0.9,0.2,2.6,27.3,12,0,-5.7
74,Vince Carter,PHX,34,73,38,35,28.1,14,5.3,12.2,43.7,1.6,4.4,36.1,1.8,2.4,74,0.7,3,3.8,2,1.2,0.9,0.3,2.6,23.9,2,0,1.8
76,Jrue Holiday,PHI,21,82,41,41,35.4,14,5.4,12.2,44.6,1,2.7,36.5,2.1,2.5,82.3,0.8,3.2,4,6.5,2.7,1.5,0.4,2.5,31.3,15,1,2.1
77,JJ Hickson,CLE,22,80,19,61,28.2,13.8,5.4,11.7,45.8,0,0.1,0,3.1,4.6,67.3,2.7,6,8.7,1.1,2.2,0.6,0.7,2.7,27.6,28,0,-6.6
78,Beno Udrih,SAC,28,79,24,55,34.6,13.7,5.2,10.4,50,0.8,2.3,35.7,2.5,2.9,86.4,0.5,2.8,3.4,4.9,1.8,1.2,0.1,2.3,27.2,4,0,-3.4
79,Lou Williams,PHI,24,75,39,36,23.3,13.7,4.3,10.6,40.6,1.2,3.4,34.8,3.9,4.7,82.3,0.4,1.6,2,3.4,1.4,0.6,0.2,1.7,22.3,0,0,1.3
80,Mike Conley,MEM,23,81,46,35,35.5,13.7,5.2,11.8,44.4,1,2.7,36.9,2.2,3,73.3,0.4,2.7,3,6.5,2.2,1.8,0.2,2.2,30.9,7,0,3.7
81,Kyle Lowry,HOU,25,75,40,35,34.2,13.5,4.6,10.8,42.6,1.7,4.6,37.6,2.6,3.3,76.5,1.2,2.9,4.1,6.7,2.1,1.4,0.3,2.8,31.3,10,1,4.1
82,Tim Duncan,SAS,35,76,60,16,28.4,13.4,5.5,11,50,0,0.1,0,2.4,3.4,71.6,2.2,6.7,8.9,2.7,1.6,0.7,1.9,1.6,34.3,27,1,6
83,Jeff Green,BOS,24,75,45,30,32.4,13.3,4.9,10.9,44.9,0.9,2.8,30.3,2.6,3.3,81.1,1,3.8,4.8,1.4,1.3,0.7,0.5,2.8,23.5,4,0,0
84,Ramon Sessions,CLE,25,81,19,62,26.3,13.3,4.5,9.6,46.6,0,0.2,20,4.3,5.2,82.3,0.6,2.6,3.1,5.2,2.2,0.7,0.1,1.1,25.1,7,0,-6.1
85,Leandro Barbosa,TOR,28,58,17,41,24,13.3,5.1,11.3,45,1.2,3.7,33.8,1.9,2.4,79.6,0.2,1.5,1.7,2.1,1.4,0.9,0.1,1.9,19.8,0,0,-2.5
86,Grant Hill,PHX,38,80,39,41,30.1,13.2,5,10.3,48.4,0.6,1.4,39.5,2.7,3.2,82.9,1,3.3,4.2,2.5,1.7,0.8,0.4,2.3,24.1,4,0,0.6
87,Anthony Morrow,NJN,25,58,17,41,32,13.2,4.8,10.7,45,1.9,4.5,42.3,1.7,1.8,89.7,0.6,2.3,3,1.2,0.9,0.3,0.1,2.3,18.9,0,0,-2.1
88,Darren Collison,IND,23,79,36,43,29.9,13.2,5,11,45.7,0.5,1.6,33.1,2.6,2.9,87.1,0.5,2.3,2.8,5.1,2.5,1.1,0.2,1.4,25.6,4,0,-1.7
89,Jameer Nelson,ORL,29,76,49,27,30.5,13.1,4.9,11,44.6,1.6,3.9,40.1,1.7,2.1,80.2,0.5,2.5,3,6,2.6,1,0,2.8,26.2,4,0,4.1
90,Baron Davis,CLE,32,58,24,34,28.4,13.1,5,11.9,41.7,1.4,4.1,33.9,1.7,2.3,77.1,0.6,2.1,2.7,6.7,2.5,1.3,0.5,2.5,29.4,7,0,-0.2
91,CJ Miles,UTA,24,78,36,42,25.2,12.8,4.7,11.5,40.7,1.4,4.3,32.2,2,2.5,81.1,0.7,2.6,3.3,1.7,1.2,0.9,0.5,2.8,22.5,0,0,0.7
92,Marcus Thornton,SAC,24,73,37,36,24.3,12.8,4.8,11.1,43.4,1.2,3.3,36.7,2,2.5,78.8,0.8,2.7,3.5,1.8,1.3,0.9,0.1,1.5,21.5,2,0,-1.7
93,Andrew Bogut,MIL,26,65,28,37,35.3,12.8,5.6,11.4,49.5,0,0.1,0,1.5,3.3,44.2,3.1,8,11.1,2,1.9,0.7,2.6,3.3,37.1,24,0,0.2
94,Thaddeus Young,PHI,23,82,41,41,26,12.7,5.6,10.3,54.1,0.1,0.3,27.3,1.5,2.1,70.7,1.9,3.4,5.3,1,1.2,1.1,0.3,2.1,23.6,2,0,2
95,Andre Miller,POR,35,81,47,34,32.7,12.7,4.8,10.4,46,0,0.5,10.8,3.1,3.6,85.3,1.2,2.5,3.7,7,2.4,1.4,0.1,2.1,29.9,11,0,3.1
96,Channing Frye,PHX,28,77,39,38,33,12.7,4.6,10.8,43.2,2.2,5.7,39,1.2,1.4,83.2,0.8,5.8,6.7,1.2,0.9,0.6,1,3.5,26.5,8,0,1.3
97,Roy Hibbert,IND,24,81,37,44,27.7,12.7,5.1,11,46.1,0,0,0,2.5,3.4,74.5,2.2,5.3,7.5,2,2.3,0.4,1.8,3.2,29,21,0,-0.4
98,Arron Afflalo,DEN,25,69,40,29,33.7,12.6,4.5,9.1,49.8,1.5,3.6,42.3,2,2.4,84.7,0.7,3,3.6,2.4,1,0.5,0.4,2.2,22.4,3,0,2.3
99,Shawn Marion,DAL,33,80,56,24,28.2,12.5,5.4,10.4,52,0.1,0.4,15.2,1.6,2.1,76.8,2.1,4.8,6.9,1.4,1.6,0.9,0.6,1.8,25.6,12,0,-0.1
100,Chris Kaman,LAC,29,32,11,21,26.2,12.4,5.5,11.8,47.1,0,0,0,1.3,1.8,75.4,1.6,5.4,7,1.4,1.8,0.5,1.5,2.3,27.2,6,0,-1.4
101,Nicolas Batum,POR,22,80,47,33,31.5,12.4,4.6,10.1,45.5,1.5,4.3,34.5,1.7,2.1,84.1,1.4,3.2,4.5,1.5,1,0.9,0.6,2.4,23.4,6,0,0.6
102,JR Smith,DEN,25,79,49,30,24.9,12.3,4.3,9.9,43.5,1.6,4,39,2.1,2.8,73.8,0.6,3.5,4.1,2.2,1.3,1.2,0.2,2.2,23.3,2,0,3.1
