,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,Indiana Pacers,82,61,21,0.744,48.3,91.4,33.6,77.1,43.5,5.5,15.6,35.1,18.8,24.6,76.4,11.8,29.9,41.7,21.6,14.4,8.9,5,6.2,20.8,0.1,5.8
2,Minnesota Timberwolves,82,58,24,0.707,48.2,94.5,37,80.1,46.2,4,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23,12.7,6.8,5.6,3.6,21.1,0.1,5.5
3,San Antonio Spurs,82,57,25,0.695,48.2,91.5,34.7,78.5,44.2,5,13.9,35.8,17.2,25.2,68.1,12.5,32.5,45.1,20.4,14.7,8.1,6.5,4.6,20.3,0,7.2
4,Los Angeles Lakers,82,56,26,0.683,48.4,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,3.9
5,Sacramento Kings,82,55,27,0.671,48.2,102.8,37.8,81.8,46.2,7.3,18.3,40.1,19.8,24.9,79.5,10.8,30.4,41.2,26.2,13.9,8.7,4,5,19.3,0,5
6,Detroit Pistons,82,54,28,0.659,48.2,90.1,33.5,77,43.5,4.1,11.8,34.4,19,25.3,75.3,12.4,30.4,42.8,20.8,15.1,8,7,5,20.3,0,5.8
7,Dallas Mavericks,82,52,30,0.634,48.3,105.2,40.5,88.2,45.9,6.2,17.8,34.8,18,22.6,79.6,14.3,31,45.3,23.9,12.2,8,5.3,4.7,19.6,0,4.4
8,Memphis Grizzlies,82,50,32,0.61,48.5,96.7,36.1,81.2,44.5,5.5,16,34,19,26.1,72.7,12.8,29,41.8,23.4,15,9.7,6.9,5.6,23.2,0,2.4
9,New Jersey Nets,82,47,35,0.573,48.1,90.3,34.3,77.7,44.1,4.6,13.7,33.6,17,22.6,75.3,10.5,30.2,40.7,24.5,14.7,8.6,3.9,4.6,21,0.1,2.5
10,Houston Rockets,82,45,37,0.549,48.6,89.8,33.4,75.5,44.2,6.3,17.1,36.6,16.7,21.6,77.3,10.3,32.3,42.6,19.3,16.7,6.8,5.4,4.4,21.5,0,1.7
11,Denver Nuggets,82,43,39,0.524,48.1,97.2,36.5,82.5,44.3,4,12,33.6,20.2,26.3,76.7,13.2,29.1,42.3,21.9,15.6,9.1,6.3,5.8,22,0.1,1.1
