,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,Dallas Mavericks,82,67,15,0.817,48.2,100,36.7,78.6,46.7,6.5,17.1,38.1,20.1,24.9,80.5,11.2,30.7,41.9,19.9,13.9,6.8,5,3.8,22.4,22.1,7.2
2,Phoenix Suns,82,61,21,0.744,48.5,110.2,41.3,83.6,49.4,9.6,24,39.9,18,22.3,80.8,9,31.5,40.5,25.9,14.5,6.7,4.8,3.7,20.2,21.5,7.3
3,San Antonio Spurs,82,58,24,0.707,48.2,98.5,36.6,77.2,47.4,7.3,19,38.1,18.1,24.1,75.1,9.3,31.4,40.7,22.1,13.9,7.2,5.1,4.1,19.4,21.2,8.4
4,Detroit Pistons,82,53,29,0.646,48.5,96,35.9,79.1,45.4,5.5,15.9,34.4,18.8,24.2,77.4,11.6,29,40.5,21.6,12.2,7.1,5.8,3.5,20.4,20.3,4.2
5,Houston Rockets,82,52,30,0.634,48.4,97,35.4,79.6,44.5,8.6,23.1,37.2,17.5,23.2,75.3,10.7,32.6,43.3,20.8,14.2,7.1,4.1,4.3,20.9,19.9,4.9
6,Utah Jazz,82,51,31,0.622,48.3,101.5,37.4,78.9,47.4,4.3,12.9,33.5,22.3,30,74.3,12.6,30,42.5,24.7,15.6,7,4.1,5.3,25.2,24.5,2.9
7,Cleveland Cavaliers,82,50,32,0.61,48.5,96.8,36.3,81.2,44.7,6,17.1,35.2,18.1,26,69.6,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22,3.8
8,Chicago Bulls,82,49,33,0.598,48.2,98.8,37.1,81.3,45.7,5.9,15.1,38.8,18.6,25.4,73.4,12,31.7,43.7,22.3,16,7.8,5.4,5.3,23.3,23.2,5
9,Toronto Raptors,82,47,35,0.573,48.2,99.5,37,79.8,46.3,6.5,17.9,36.3,19,24.2,78.8,9.2,30.2,39.5,22.2,13.5,7.1,3.9,3.9,20.4,21.8,1
10,Denver Nuggets,82,45,37,0.549,48.2,105.4,38.6,83,46.5,5.9,17.6,33.6,22.3,29.9,74.6,12.2,31.2,43.4,23.4,16.5,8.3,5.3,5.2,21.4,23.7,1.6
11,Miami Heat,82,44,38,0.537,48.4,94.6,35.6,76.7,46.4,6.4,18.8,34.3,17,24.6,69,10,30.8,40.8,20.5,14.6,6.9,5.4,3.8,21.3,21.8,-0.9
12,Los Angeles Lakers,82,42,40,0.512,48.9,103.3,37.8,81.3,46.6,7.4,21,35.3,20.2,27.1,74.7,10.8,30.4,41.2,22.6,15.5,7.3,5.1,5,23,23.4,-0.1
12,Golden State Warriors,82,42,40,0.512,48.2,106.5,39.8,86,46.3,8.5,24,35.6,18.5,25.8,71.7,11.5,29.9,41.4,23.8,16,9.1,5.7,4.9,23.6,22.3,-0.3
14,New Jersey Nets,82,41,41,0.5,48.5,97.6,35.5,77.8,45.7,7.4,20.4,36.3,19.1,26.3,72.7,10,30.8,40.8,23.9,14.8,6.1,3.3,4.5,22.8,23,-0.8
14,Washington Wizards,82,41,41,0.5,48.4,104.3,37.4,83.2,45,6.8,19.7,34.8,22.6,29.6,76.5,12.2,29,41.2,20.2,13.8,7.7,4.6,4.6,22.2,23.5,-0.5
16,Orlando Magic,82,40,42,0.488,48.2,94.8,35.1,74.3,47.2,4.2,11.7,35.6,20.5,29.2,70.2,11.2,29.5,40.7,18.6,17,6.9,5.1,4.6,23.2,23.4,0.8
16,Los Angeles Clippers,82,40,42,0.488,48.1,95.6,35.1,77,45.6,3.8,11,34.8,21.6,27.4,78.8,10.8,30.3,41.1,21.5,15.1,7.3,5.8,3.9,22.7,22.3,-0.5
18,New Orleans Hornets,82,39,43,0.476,48.5,95.5,36.2,81.4,44.5,5.5,15.3,36.2,17.5,23.7,74,12.5,30.6,43.1,18.7,14.5,6.4,4.2,4.8,19.8,21.1,-1.6
19,Philadelphia 76ers,82,35,47,0.427,48.5,94.9,35.8,78.1,45.8,3.5,10,34.5,20,26,76.7,11,28.7,39.7,20.4,15.3,7.2,4.8,3.9,20.4,22,-3
19,Indiana Pacers,82,35,47,0.427,48.2,95.6,35,80,43.8,5.9,16.9,34.6,19.7,25.9,76,12.1,29.8,41.8,20.5,16.3,7.3,5.5,5,23.3,23.7,-2.4
21,New York Knicks,82,33,49,0.402,48.8,97.5,35.4,77.5,45.7,5.8,16.7,34.6,20.9,29.2,71.5,12.6,30.7,43.3,18.7,17.1,6.6,3.2,5,23.6,22.9,-2.9
21,Charlotte Bobcats,82,33,49,0.402,48.8,96.9,36.1,81,44.6,5.6,15.6,35.7,19.1,26,73.4,11.2,28.6,39.8,22.4,14.9,7.8,4.5,5.3,24.2,21.8,-3.7
21,Sacramento Kings,82,33,49,0.402,48.3,101.3,35.9,79.7,45,6.5,18.5,35,23.1,30.2,76.5,9.7,29.2,38.9,20.3,14.6,8.2,3.2,4.9,21.9,24.3,-1.8
24,Minnesota Timberwolves,82,32,50,0.39,48.8,96.1,36.5,79.3,46.1,4.7,13.3,35.3,18.3,23.1,79.2,10,30.2,40.1,22.5,15.6,6.5,4,4.4,21.4,20.5,-3.7
24,Portland Trail Blazers,82,32,50,0.39,48.7,94.1,35,78,45,5.2,15,34.6,18.8,24.5,76.9,11.3,28,39.3,18.5,15.1,6.8,4.6,4.6,23.5,21.3,-4.3
26,Seattle SuperSonics,82,31,51,0.378,48.4,99.1,37.2,80.8,46,6.4,17.7,36.2,18.4,23.3,79.1,11.3,28.3,39.6,20.7,15.5,7.7,3.7,4.2,22,19.9,-2.9
27,Atlanta Hawks,82,30,52,0.366,48.5,93.7,34.5,77.7,44.4,4.2,12.7,32.9,20.5,26.9,76.1,11.9,28.2,40.1,19.2,15.9,7.4,5.4,5.1,24,22.6,-4.8
28,Milwaukee Bucks,82,28,54,0.341,48.4,99.7,38.1,81.9,46.5,6.4,18,35.6,17.1,23.4,73.3,11.5,27.7,39.2,21.6,15.1,7.2,2.7,5.3,22.2,21,-4.4
29,Boston Celtics,82,24,58,0.293,48.4,95.8,34.9,78.7,44.3,5.7,15.6,36.7,20.4,26.6,76.7,11.2,29.2,40.4,19.9,16.5,7.2,4.7,5.5,24,21.4,-3.4
30,Memphis Grizzlies,82,22,60,0.268,48.7,101.6,36.6,78.6,46.5,6.1,16.6,36.7,22.4,29.4,76.1,10.6,29,39.5,20.5,16.4,6.9,5,5.5,22.3,24.3,-5.1
