,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,Utah Jazz,82,62,20,0.756,48.2,101,36.5,74.5,49,3,8.2,37.2,24.9,32.2,77.3,11.7,29.3,41.1,25.2,15.4,7.9,5,5.2,23.9,0.3,6.5
1,Chicago Bulls,82,62,20,0.756,48.4,96.7,37.4,82.9,45.1,3.8,11.7,32.3,18.2,24.5,74.3,15.2,29.7,44.9,23.8,14.4,8.5,4.3,4.3,20.6,0.2,7.1
3,Los Angeles Lakers,82,61,21,0.744,48.4,105.5,38.4,79.7,48.1,6.1,17.3,35.1,22.7,33.4,67.9,13.2,30.1,43.3,24.5,15.3,9,6.8,5.2,22.7,0.1,7.7
3,Seattle SuperSonics,82,61,21,0.744,48.2,100.5,37.2,78.7,47.2,7.6,19.1,39.5,18.5,25.7,72.1,11.4,27.1,38.5,24.2,14,9.8,4.6,4.9,22,0.2,7.2
5,Indiana Pacers,82,58,24,0.707,48.4,96,35.6,75.9,46.9,4.9,12.5,39,19.9,26,76.4,10.7,28.6,39.3,23,14.2,7.9,4.5,4.5,22.7,0.1,6.1
6,San Antonio Spurs,82,56,26,0.683,48.4,92.5,35.3,75.5,46.8,3.7,10.5,35,18.2,26.4,68.8,12,32.2,44.2,22.4,16.1,6.3,6.9,4.6,21.1,0.2,4
6,Phoenix Suns,82,56,26,0.683,48.7,99.6,38.3,81.8,46.8,5.3,14.8,35.6,17.8,23.8,74.9,12.1,29.9,42,25.9,15.1,9.2,5.2,3.9,21.5,0.2,5.2
8,Miami Heat,82,55,27,0.671,48.2,95,34.8,77.2,45,6.7,18.8,35.5,18.8,25.4,73.9,12.5,29.5,42,21.4,15,8.1,5.2,4.5,24.2,0.2,4.9
9,Charlotte Hornets,82,51,31,0.622,48.2,96.6,36.2,77.4,46.8,4.2,11,38.3,20,26.7,75.1,12,28.5,40.6,23.7,15.2,8.4,3.8,4.5,21.4,0.3,2
10,Atlanta Hawks,82,50,32,0.61,48.5,95.9,35.2,77.5,45.5,4.1,12.4,33.2,21.3,28.2,75.6,13.5,29.5,43,19.1,14.8,7.9,6,4.5,20.4,0.2,3.5
