,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,Detroit Pistons,82,64,18,0.78,48.4,96.8,36.4,80,45.5,6.8,17.7,38.4,17.3,23.8,72.7,11.9,28.6,40.5,24,11.4,7.1,6,3.5,18.5,20.9,6.7
2,San Antonio Spurs,82,63,19,0.768,48.3,95.6,36.5,77.3,47.2,6.4,16.6,38.5,16.2,23.1,70.2,10.4,31.1,41.5,20.9,13.7,6.6,5.7,4.2,20.9,20.6,6.8
3,Dallas Mavericks,82,60,22,0.732,48.5,99.1,36,77.7,46.2,5.1,13.6,37.4,22.2,28.3,78.3,12.6,29.6,42.2,18,13.6,7.2,6,4.9,22.4,23.6,6.1
4,Phoenix Suns,82,54,28,0.659,48.7,108.4,41.8,87.4,47.9,10.2,25.6,39.9,14.5,18,80.6,9.5,32.3,41.8,26.6,13.3,6.7,5,3.4,20.5,19.8,5.5
5,Miami Heat,82,52,30,0.634,48.2,99.9,37.1,77.5,47.8,6.1,17.6,34.5,19.7,28.2,70,10.5,32.6,43.1,20.6,14.5,6.4,5.4,3.6,22.8,23.6,3.9
6,Cleveland Cavaliers,82,50,32,0.61,48.4,97.6,35.5,78.2,45.4,6.1,17.9,33.9,20.6,28.3,72.9,11.7,30.6,42.3,19,13.9,6.9,4.8,4.4,21.1,22.5,2.2
7,New Jersey Nets,82,49,33,0.598,48.2,93.8,33.9,77,44,5.8,17.6,33,20.2,26.7,75.8,10,31,41,23,13.6,6.8,3.4,4,23.2,23,1.4
7,Memphis Grizzlies,82,49,33,0.598,48.4,92.2,33.5,74.7,44.8,7.2,19.2,37.4,18,25.3,71.1,10.2,29,39.2,19.3,13.8,7.3,5.4,5.6,21.4,22.8,3.7
9,Los Angeles Clippers,82,47,35,0.573,48.3,97.2,36.5,78.6,46.5,3.5,10.3,34.4,20.7,26.1,79.1,10.1,33,43.1,20.8,14.5,6.5,6.1,4.3,22.8,21.7,1.6
10,Los Angeles Lakers,82,45,37,0.549,48.4,99.4,36.5,80.6,45.3,6.7,19.3,34.9,19.7,26.5,74.5,11.8,30.3,42.2,21.1,13.9,7.7,4.3,4.3,23.1,23.5,2.5
