,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
28,25.0,64.0,32.0,32.0,39.9,18.5,7.2,15.5,46.7,0.0,0.0,0.0,4.0,5.6,72.1,2.5,4.5,7.0,3.3,2.9,1.3,0.4,3.5,33.8,11.0,0.0,-0.7
29,30.0,57.0,30.0,27.0,23.8,11.5,4.4,9.6,45.5,0.0,0.1,25.0,2.8,4.6,60.0,2.1,3.8,5.9,0.9,1.7,0.9,0.5,2.7,22.5,9.0,0.0,0.2
30,28.0,80.0,47.0,33.0,34.6,18.0,6.5,14.6,44.5,0.0,0.1,25.0,5.1,7.0,72.7,2.7,6.6,9.3,2.5,3.4,1.4,1.1,3.9,36.9,41.0,0.0,3.2
31,21.0,82.0,19.0,63.0,35.9,22.3,8.0,16.4,48.4,0.3,0.6,41.2,6.1,7.8,78.4,2.8,4.3,7.1,2.6,3.1,1.1,0.9,2.5,37.6,13.0,0.0,-5.3
32,22.0,79.0,23.0,56.0,29.7,14.6,5.9,13.5,43.4,0.0,0.1,0.0,2.9,3.7,77.5,2.5,3.4,6.0,1.2,2.0,0.8,0.6,3.3,25.9,15.0,0.0,-5.3
33,23.0,81.0,55.0,26.0,30.1,15.1,6.1,11.4,53.6,0.0,0.0,0.0,2.9,4.1,70.2,2.5,5.0,7.6,1.3,1.8,1.2,1.7,3.6,33.1,24.0,0.0,2.2
34,28.0,74.0,47.0,27.0,30.9,13.8,4.8,9.9,48.5,0.1,0.4,22.2,4.1,4.8,86.4,1.9,4.7,6.6,2.6,2.5,1.0,1.0,3.3,28.9,10.0,0.0,2.3
35,31.0,59.0,23.0,36.0,36.2,17.6,6.0,14.7,41.1,0.4,1.7,26.5,5.1,6.6,77.2,2.5,7.4,9.9,2.5,2.7,0.8,1.1,2.4,36.3,32.0,0.0,-1.0
36,36.0,70.0,39.0,31.0,35.4,18.4,6.5,15.1,42.7,1.5,4.8,31.7,4.0,4.9,80.1,1.5,3.4,4.9,5.5,2.7,1.8,0.6,2.8,37.0,11.0,0.0,1.0
37,32.0,73.0,50.0,23.0,33.7,21.6,7.5,14.6,51.1,0.0,0.1,25.0,6.6,9.0,73.5,3.3,7.3,10.6,2.7,2.8,0.9,2.6,2.8,46.1,40.0,0.0,4.9
38,21.0,82.0,36.0,46.0,39.9,22.4,8.8,20.8,42.3,1.1,3.6,31.2,3.7,5.8,64.5,3.3,6.9,10.2,3.3,3.6,1.7,0.7,3.2,43.5,47.0,1.0,-3.3
39,27.0,61.0,33.0,28.0,30.5,12.2,4.4,11.0,39.8,0.9,2.6,35.6,2.5,3.2,78.9,0.6,2.2,2.8,5.7,2.3,1.4,0.0,2.2,26.1,6.0,0.0,0.3
40,31.0,70.0,44.0,26.0,38.5,13.2,5.3,13.4,39.2,1.3,4.8,26.9,1.4,1.9,70.9,1.2,3.7,4.9,6.7,2.5,2.6,0.3,1.7,35.2,9.0,2.0,5.9
41,33.0,56.0,25.0,31.0,29.3,13.3,4.5,10.3,43.2,0.0,0.0,0.0,4.4,5.9,74.1,2.6,4.4,7.0,1.4,2.6,0.5,0.8,2.9,25.0,15.0,0.0,-3.4
42,31.0,76.0,38.0,38.0,39.7,17.8,6.4,14.9,43.4,0.2,0.6,25.0,4.7,6.5,72.6,1.5,3.9,5.3,10.5,3.5,1.7,0.3,2.4,42.4,42.0,3.0,1.3
