,0
0,0.8170000000000001
1,0.6709999999999999
2,0.573
3,0.39
4,0.622
5,0.5
6,0.415
7,0.622
8,0.512
9,0.6459999999999999
10,0.37799999999999995
11,0.622
12,0.7440000000000001
13,0.5
14,0.37799999999999995
15,0.244
16,0.293
17,0.598
18,0.622
19,0.488
20,0.5
21,0.451
22,0.402
23,0.354
24,0.512
25,0.317
26,0.341
27,0.524
28,0.524
29,0.732
30,0.5489999999999999
31,0.805
32,0.37799999999999995
33,0.659
34,0.5489999999999999
35,0.402
36,0.5
37,0.598
38,0.6829999999999999
39,0.244
40,0.32899999999999996
41,0.46299999999999997
42,0.573
43,0.415
44,0.506
45,0.524
46,0.6829999999999999
47,0.537
48,0.605
49,0.341
50,0.293
51,0.7070000000000001
52,0.5489999999999999
53,0.695
54,0.354
55,0.305
56,0.354
57,0.415
58,0.26
59,0.62
60,0.74
61,0.56
62,0.54
63,0.38
64,0.16
65,0.52
66,0.56
67,0.36
68,0.74
69,0.38
70,0.42
71,0.58
72,0.54
73,0.5
74,0.62
75,0.28
76,0.7
77,0.32
78,0.66
79,0.66
80,0.5
81,0.62
82,0.44
83,0.46
84,0.66
85,0.54
86,0.18
87,0.5489999999999999
88,0.207
89,0.451
90,0.195
91,0.6829999999999999
92,0.6829999999999999
93,0.8170000000000001
94,0.622
95,0.354
96,0.598
97,0.46299999999999997
98,0.61
99,0.6459999999999999
100,0.5489999999999999
101,0.46299999999999997
102,0.47600000000000003
103,0.561
104,0.732
105,0.305
106,0.22
107,0.5
108,0.256
109,0.366
110,0.6709999999999999
111,0.488
112,0.6709999999999999
113,0.39
114,0.46299999999999997
115,0.61
116,0.7120000000000001
117,0.6970000000000001
118,0.545
119,0.621
120,0.758
121,0.348
122,0.515
123,0.545
124,0.561
125,0.606
126,0.424
127,0.348
128,0.636
129,0.33299999999999996
130,0.39399999999999996
131,0.621
132,0.591
133,0.318
134,0.545
135,0.606
136,0.318
137,0.33299999999999996
138,0.758
139,0.303
140,0.47
141,0.5760000000000001
142,0.379
143,0.53
144,0.5
145,0.451
146,0.72
147,0.32899999999999996
148,0.659
149,0.659
150,0.622
151,0.402
152,0.659
153,0.7559999999999999
154,0.537
155,0.183
156,0.305
157,0.537
158,0.488
159,0.585
160,0.695
161,0.305
162,0.23199999999999998
163,0.46299999999999997
164,0.6829999999999999
165,0.598
166,0.341
167,0.415
168,0.439
169,0.28
170,0.585
171,0.354
172,0.61
173,0.585
174,0.6709999999999999
175,0.5
176,0.695
177,0.366
178,0.39
179,0.402
180,0.89
181,0.537
182,0.207
183,0.6459999999999999
184,0.585
185,0.6829999999999999
186,0.512
187,0.354
188,0.42700000000000005
189,0.488
190,0.512
191,0.5
192,0.512
193,0.256
194,0.28
195,0.122
196,0.585
197,0.8170000000000001
198,0.585
199,0.5489999999999999
200,0.537
201,0.402
202,0.402
203,0.6709999999999999
204,0.23199999999999998
205,0.61
206,0.695
207,0.7070000000000001
208,0.439
209,0.695
210,0.451
211,0.268
212,0.488
213,0.28
214,0.585
215,0.537
216,0.7559999999999999
217,0.561
218,0.524
219,0.512
220,0.293
221,0.47600000000000003
222,0.561
223,0.293
224,0.39
225,0.634
226,0.6829999999999999
227,0.366
228,0.7440000000000001
229,0.207
230,0.5
231,0.42700000000000005
232,0.585
233,0.7929999999999999
234,0.6709999999999999
235,0.585
236,0.72
237,0.598
238,0.61
239,0.573
240,0.7070000000000001
