1,29,24,22,16,5,4,9,8,2,2,13,-31,1,1,0,1
1,24,22,34,5,4,2,8,2,13,13,-31,7,1,0,1,0
0,22,34,29,4,2,10,2,13,13,-31,7,-2,0,1,0,0
1,34,29,18,2,10,3,13,13,8,7,-2,-10,1,0,0,0
0,29,18,16,10,3,10,13,8,7,-2,-10,-17,0,0,0,0
0,18,16,33,3,10,6,8,7,11,-10,-17,-12,0,0,0,1
0,16,33,57,10,6,11,7,11,7,-17,-12,6,0,0,1,0
0,33,57,26,6,11,5,11,7,13,-12,6,-4,0,1,0,1
1,57,26,30,11,5,8,7,13,9,6,-4,6,1,0,1,0
0,26,30,33,5,8,4,13,9,7,-4,6,5,0,1,0,1
1,30,33,19,8,4,11,9,7,4,6,5,5,1,0,1,1
0,33,19,23,4,11,9,7,4,12,5,5,2,0,1,1,1
1,19,23,31,11,9,6,4,12,8,5,2,1,1,1,1,1
1,23,31,39,9,6,14,12,8,6,2,1,1,1,1,1,1
1,31,39,18,6,14,2,8,6,8,1,1,21,1,1,1,1
1,39,18,33,14,2,6,6,8,5,1,21,20,1,1,1,1
1,18,33,27,2,6,16,8,5,13,21,20,-2,1,1,1,1
1,33,27,30,6,16,14,5,13,6,20,-2,1,1,1,1,1
1,27,30,21,16,14,12,13,6,6,-2,1,26,1,1,1,1
1,30,21,24,14,12,6,6,6,12,1,26,10,1,1,1,1
1,21,24,34,12,6,2,6,12,12,26,10,-5,1,1,1,1
1,24,34,23,6,2,7,12,12,6,10,-5,27,1,1,1,1
1,34,23,32,2,7,11,12,6,9,-5,27,2,1,1,1,0
1,23,32,29,7,11,10,6,9,8,27,2,3,1,1,0,1
1,32,29,30,11,10,13,9,8,13,2,3,-3,1,0,1,1
0,29,30,25,10,13,7,8,13,17,3,-3,19,0,1,1,1
1,30,25,25,13,7,12,13,17,12,-3,19,14,1,1,1,1
1,25,25,29,7,12,11,17,12,10,19,14,0,1,1,1,1
1,25,29,20,12,11,11,12,10,15,14,0,4,1,1,1,0
1,29,20,39,11,11,1,10,15,7,0,4,-7,1,1,0,1
1,20,39,34,11,1,6,15,7,9,4,-7,5,1,0,1,0
0,39,34,20,1,6,6,7,9,6,-7,5,-1,0,1,0,0
1,34,20,16,6,6,10,9,6,14,5,-1,-11,1,0,0,0
0,20,16,29,6,10,8,6,14,6,-1,-11,-5,0,0,0,1
0,16,29,24,10,8,6,14,6,8,-11,-5,0,0,0,1,0
0,29,24,19,8,6,7,6,8,6,-5,0,-6,0,1,0,1
1,24,19,33,6,7,10,8,6,9,0,-6,15,1,0,1,0
0,19,33,10,7,10,8,6,9,5,-6,15,-39,0,1,0,0
