26,35,16,10,10,9,5,4,7,3,6,-3,1,1,0,0
35,16,34,10,9,7,4,7,6,6,-3,-3,1,0,0,1
16,34,19,9,7,4,7,6,12,-3,-3,26,0,0,1,1
34,19,38,7,4,8,6,12,5,-3,26,6,0,1,1,1
19,38,29,4,8,4,12,5,6,26,6,10,1,1,1,1
38,29,32,8,4,7,5,6,7,6,10,16,1,1,1,1
29,32,37,4,7,9,6,7,6,10,16,12,1,1,1,0
32,37,20,7,9,5,7,6,4,16,12,-22,1,1,0,1
37,20,15,9,5,1,6,4,9,12,-22,3,1,0,1,0
20,15,30,5,1,10,4,9,8,-22,3,-7,0,1,0,0
15,30,30,1,10,7,9,8,5,3,-7,1,1,0,0,1
30,30,25,10,7,4,8,5,11,-7,1,2,0,0,1,0
30,25,27,7,4,7,5,11,6,1,2,-4,0,1,0,1
25,27,31,4,7,7,11,6,8,2,-4,8,1,0,1,0
27,31,21,7,7,5,6,8,4,-4,8,-13,0,1,0,1
31,21,26,7,5,6,8,4,10,8,-13,2,1,0,1,1
21,26,27,5,6,7,4,10,6,-13,2,28,0,1,1,0
26,27,15,6,7,7,10,6,6,2,28,-4,1,1,0,1
27,15,22,7,7,8,6,6,7,28,-4,3,1,0,1,1
15,22,22,7,8,9,6,7,7,-4,3,22,0,1,1,0
22,22,29,8,9,5,7,7,5,3,22,-7,1,1,0,0
22,29,37,9,5,1,7,5,8,22,-7,8,1,0,0,0
29,37,26,5,1,10,5,8,5,-7,8,-20,0,0,0,1
37,26,32,1,10,7,8,5,1,8,-20,3,0,0,1,1
26,32,27,10,7,9,5,1,3,-20,3,23,0,1,1,1
32,27,32,7,9,4,1,3,5,3,23,11,1,1,1,0
27,32,33,9,4,9,3,5,3,23,11,6,1,1,0,1
32,33,19,4,9,5,5,3,5,11,6,5,1,0,1,1
33,19,32,9,5,6,3,5,4,6,5,3,0,1,1,1
19,32,8,5,6,5,5,4,9,5,3,9,1,1,1,1
32,8,19,6,5,13,4,9,4,3,9,4,1,1,1,1
8,19,34,5,13,4,9,4,7,9,4,13,1,1,1,0
19,34,34,13,4,6,4,7,6,4,13,-20,1,1,0,1
34,34,28,4,6,6,7,6,6,13,-20,14,1,0,1,0
34,28,30,6,6,7,6,6,8,-20,14,-7,0,1,0,0
28,30,23,6,7,6,6,8,2,14,-7,-24,1,0,0,0
30,23,30,7,6,10,8,2,10,-7,-24,-3,0,0,0,1
23,30,32,6,10,7,2,10,5,-24,-3,5,0,0,1,0
30,32,18,10,7,4,10,5,5,-3,5,-2,0,1,0,0
32,18,39,7,4,10,5,5,5,5,-2,-8,1,0,0,0
18,39,30,4,10,9,5,5,5,-2,-8,-8,0,0,0,0
39,30,17,10,9,6,5,5,9,-8,-8,-12,0,0,0,1
30,17,18,9,6,10,5,9,3,-8,-12,17,0,0,1,0
17,18,21,6,10,5,9,3,6,-12,17,-12,0,1,0,1
18,21,11,10,5,7,3,6,3,17,-12,15,1,0,1,1
21,11,29,5,7,7,6,3,6,-12,15,22,0,1,1,1
11,29,18,7,7,8,3,6,5,15,22,3,1,1,1,0
29,18,23,7,8,10,6,5,4,22,3,10,1,1,0,1
18,23,38,8,10,4,5,4,3,3,10,4,1,0,1,1
23,38,29,10,4,4,4,3,2,10,4,5,0,1,1,0
38,29,29,4,4,7,3,2,2,4,5,3,1,1,0,0
29,29,29,4,7,3,2,2,7,5,3,6,1,0,0,1
29,29,35,7,3,5,2,7,8,3,6,16,0,0,1,0
29,35,39,3,5,3,7,8,5,6,16,-2,0,1,0,1
35,39,36,5,3,5,8,5,6,16,-2,23,1,0,1,1
39,36,32,3,5,12,5,6,8,-2,23,-1,0,1,1,1
36,32,41,5,12,7,6,8,8,23,-1,8,1,1,1,1
32,41,32,12,7,8,8,8,9,-1,8,15,1,1,1,1
41,32,26,7,8,7,8,9,6,8,15,23,1,1,1,1
32,26,29,8,7,6,9,6,4,15,23,35,1,1,1,1
26,29,24,7,6,17,6,4,9,23,35,7,1,1,1,0
29,24,37,6,17,6,4,9,6,35,7,-5,1,1,0,0
24,37,31,17,6,6,9,6,4,7,-5,-6,1,0,0,1
37,31,21,6,6,3,6,4,10,-5,-6,19,0,0,1,0
31,21,18,6,3,3,4,10,8,-6,19,-13,0,1,0,1
21,18,26,3,3,7,10,8,6,19,-13,11,1,0,1,0
18,26,24,3,7,6,8,6,7,-13,11,3,0,1,0,1
26,24,39,7,6,5,6,7,9,11,3,4,1,0,1,1
24,39,31,6,5,12,7,9,6,3,4,21,0,1,1,0
39,31,35,5,12,9,9,6,5,4,21,3,1,1,0,1
31,35,25,12,9,6,6,5,5,21,3,5,1,0,1,0
35,25,20,9,6,5,5,5,6,3,5,-11,0,1,0,1
25,20,35,6,5,8,5,6,4,5,-11,21,1,0,1,1
20,35,23,5,8,5,6,4,6,-11,21,25,0,1,1,1
35,23,18,8,5,5,4,6,6,21,25,-4,1,1,1,1
